StockCode,Description,Revenue,UnitsSold,CumulativeRevenue,CumulativeRevenuePercent,Category
21843,RED RETROSPOT CAKE STAND,48564.29,4635,3487981.1799999997,17.03395771460235,A
21731,RED TOADSTOOL LED NIGHT LIGHT,48315.84,28910,3536297.0199999996,17.269913682548683,A
22457,NATURAL SLATE HEART CHALKBOARD ,47288.23,15373,3583585.2499999995,17.50085119873631,A
15056BL,EDWARDIAN PARASOL BLACK,47267.450000000004,9504,3630852.6999999997,17.731687233401235,A
21232,STRAWBERRY CERAMIC TRINKET BOX,47169.35,36628,3678022.05,17.962044185420478,A
21754,HOME BUILDING BLOCK WORD,46516.99,7595,3724539.04,18.189215262264014,A
21181,PLEASE ONE PERSON METAL SIGN,46249.07000000001,22865,3770788.11,18.415077920938014,A
22138,BAKING SET 9 PIECE RETROSPOT ,45882.01,9366,3816670.1199999996,18.639147999837054,A
20727,LUNCH BAG  BLACK SKULL.,45655.27,26678,3862325.3899999997,18.862110767838214,A
21623,VINTAGE UNION JACK MEMOBOARD,45402.18,6165,3907727.57,19.083837541682435,A
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,44063.04,15380,3951790.61,19.29902447114197,A
84078A,SET/4 WHITE RETRO STORAGE CUBES ,43844.96,1128,3995635.57,19.513146381810774,A
82494L,WOODEN FRAME ANTIQUE WHITE ,43811.16,15301,4039446.73,19.72710322628769,A
84029E,RED WOOLLY HOTTIE WHITE HEART.,42994.24,10628,4082440.97,19.937070547880715,A
22197,SMALL POPCORN HOLDER,42699.89,48561,4125140.8600000003,20.145600377355933,A
21915,RED  HARMONICA IN BOX ,42664.54,36289,4167805.4000000004,20.353957571035792,A
21175,GIN + TONIC DIET METAL SIGN,42613.98,20178,4210419.380000001,20.562067849133943,A
23298,SPOTTY BUNTING,42513.48,8320,4252932.860000001,20.769687323910066,A
20728,LUNCH BAG CARS BLUE,42270.3,24596,4295203.160000001,20.97611920115533,A
48138,DOORMAT UNION FLAG,42239.5,6302,4337442.660000001,21.182400663054143,A
82482,WOODEN PICTURE FRAME WHITE FINISH,41837.6,16914,4379280.260000001,21.38671940002635,A
22355,CHARLOTTE BAG SUKI DESIGN,41580.97,27550,4420861.23,21.589784854844016,A
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,41099.79,14077,4461961.0200000005,21.790500411726416,A
20725,LUNCH BAG RED RETROSPOT,41043.02,22232,4503004.04,21.99093872577706,A
20713,JUMBO BAG OWLS,40667.05,20814,4543671.09,22.189540947041802,A
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61,4583290.59,22.383027337261858,A
85066,CREAM SWEETHEART MINI CHEST,38599.979999999996,3091,4621890.57,22.571534784169728,A
20726,LUNCH BAG WOODLAND,38506.74,22118,4660397.3100000005,22.759586882801518,A
48194,DOORMAT HEARTS,38428.12,6026,4698825.430000001,22.947255031610645,A
22960,JAM MAKING SET WITH JARS,38380.11,9019,4737205.540000001,23.13468871805668,A
21166,COOK WITH WINE METAL SIGN ,38138.86,19932,4775344.400000001,23.32094423234909,A
23284,DOORMAT KEEP CALM AND COME IN,38133.64,5487,4813478.040000001,23.50717425417044,A
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,38108.89,7483,4851586.930000001,23.69328340651696,A
22629,SPACEBOY LUNCH BOX ,37955.5,20807,4889542.430000001,23.878643461136466,A
22699,ROSES REGENCY TEACUP AND SAUCER ,37682.8,12860,4927225.23,24.062671753906038,A
20712,JUMBO BAG WOODLAND ANIMALS,37499.37,17710,4964724.600000001,24.245804245149653,A
22727,ALARM CLOCK BAKELIKE RED ,36543.77,9234,5001268.37,24.42426995376111,A
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,35922.51,12875,5037190.88,24.599701667627865,A
20685,DOORMAT RED RETROSPOT,35198.96,5038,5072389.84,24.77159984175677,A
21755,LOVE BUILDING BLOCK WORD,34836.020000000004,5643,5107225.859999999,24.941725556605103,A
22379,RECYCLING BAG RETROSPOT ,34640.84,15765,5141866.699999999,25.110898087449524,A
22197,POPCORN HOLDER,34288.67,36749,5176155.369999999,25.27835075554848,A
48185,DOORMAT FAIRY CAKE,34191.53,5095,5210346.899999999,25.445329029272294,A
22666,RECIPE BOX PANTRY YELLOW DESIGN,33682.62,10706,5244029.52,25.609821982412896,A
21523,DOORMAT FANCY FONT HOME SWEET HOME,33466.26,5075,5277495.779999999,25.77325831658081,A
22630,DOLLY GIRL LUNCH BOX,33380.83,18058,5310876.609999999,25.936277443506928,A
48187,DOORMAT NEW ENGLAND,33203.79,5291,5344080.399999999,26.098431975207852,A
22382,LUNCH BAG SPACEBOY DESIGN ,33049.37,19604,5377129.77,26.259832379058157,A
15036,ASSORTED COLOURS SILK FAN,32967.03,44272,5410096.8,26.420830666037453,A
22726,ALARM CLOCK BAKELIKE GREEN,32609.32,7671,5442706.12,26.58008203504339,A
22385,JUMBO BAG SPACEBOY DESIGN,32433.5,17057,5475139.62,26.738474766834607,A
82486,WOOD S/3 CABINET ANT WHITE FINISH,31594.39,3994,5506734.01,26.89276960832187,A
22139,RETROSPOT TEA SET CERAMIC 11 PC ,31527.12,6168,5538261.13,27.046735929018357,A
22077,6 RIBBONS RUSTIC CHARM,31513.11,17238,5569774.24,27.200633830266668,A
85152,HAND OVER THE CHOCOLATE   SIGN ,31483.7,16373,5601257.94,27.354388104393585,A
22865,HAND WARMER OWL DESIGN,31416.04,14537,5632673.98,27.50781195311981,A
23245,SET OF 3 REGENCY CAKE TINS,31118.550000000003,6345,5663792.53,27.659782975176682,A
21479,WHITE SKULL HOT WATER BOTTLE ,31079.8,6219,5694872.33,27.811564757146705,A
23199,JUMBO BAG APPLES,30450.690000000002,14908,5725323.0200000005,27.96027420799313,A
22501,PICNIC BASKET WICKER LARGE,30339.36,2612,5755662.380000001,28.108439965965516,A
20725,LUNCH BAG RED SPOTTY,30063.27,18085,5785725.65,28.255257406632627,A
20679,EDWARDIAN PARASOL RED,30020.97,6149,5815746.62,28.401868270379133,A
22697,GREEN REGENCY TEACUP AND SAUCER,29952.550000000003,9621,5845699.17,28.548144997177445,A
84946,ANTIQUE SILVER TEA GLASS ETCHED,29828.78,22032,5875527.95,28.693817278929313,A
22659,LUNCH BOX I LOVE LONDON,29561.86,15941,5905089.8100000005,28.838186026126795,A
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,29533.87,6830,5934623.680000001,28.982418080936384,A
20914,SET/5 RED SPOTTY LID GLASS BOWLS,29468.52,10706,5964092.2,29.126330991496268,A
22622,BOX OF VINTAGE ALPHABET BLOCKS,29450.11,2945,5993542.3100000005,29.27015399470135,A
47590B,PINK HAPPY BIRTHDAY BUNTING,29363.86,5738,6022906.170000001,29.413555786100204,A
22158,3 HEARTS HANGING DECORATION RUSTIC,29198.280000000002,8985,6052104.450000001,29.55614894850343,A
82483,WOOD 2 DRAWER CABINET WHITE FINISH,29003.370000000003,4878,6081107.820000001,29.69779024547882,A
21928,JUMBO BAG SCANDINAVIAN PAISLEY,28962.829999999998,15857,6110070.650000001,29.83923356069626,A
23355,HOT WATER BOTTLE KEEP CALM,28718.8,5816,6138789.450000001,29.979485127309964,A
20971,PINK BLUE FELT CRAFT TRINKET BOX,28580.97,22260,6167370.420000001,30.11906358524829,A
84978,HANGING HEART JAR T-LIGHT HOLDER,28475.96,21689,6195846.380000001,30.25812921476029,A
22866,HAND WARMER SCOTTY DOG DESIGN,28266.870000000003,12778,6224113.250000001,30.396173729181715,A
22752,SET 7 BABUSHKA NESTING BOXES,28139.45,3459,6252252.700000001,30.53359597336142,A
22188,BLACK HEART CARD HOLDER,28112.030000000002,10353,6280364.730000001,30.670884308813857,A
21977,PACK OF 60 PINK PAISLEY CAKE CASES,28081.73,56061,6308446.460000002,30.80802467072742,A
22467,GUMBALL COAT RACK,28059.480000000003,11868,6336505.940000002,30.94505637220401,A
82583,HOT BATHS METAL SIGN,27981.99,12877,6364487.9300000025,31.081709642343053,A
23201,JUMBO BAG ALPHABET,27850.83,13366,6392338.760000003,31.217722377519735,A
21212,PACK OF 72 RETROSPOT CAKE CASES,27770.72,48156,6420109.480000002,31.353343886287178,A
20719,WOODLAND CHARLOTTE BAG,27598.42,24479,6447707.900000002,31.48812394816522,A
21930,JUMBO STORAGE BAG SKULLS,27368.08,13390,6475075.980000002,31.62177911813086,A
22624,IVORY KITCHEN SCALES,27282.73,3152,6502358.710000003,31.755017471543912,A
72741,GRAND CHOCOLATECANDLE,27239.46,19712,6529598.170000003,31.88804451092966,A
22835,HOT WATER BOTTLE I AM SO POORLY,27082.84,5302,6556681.010000003,32.02030667851146,A
22492,MINI PAINT SET VINTAGE ,27056.19,42286,6583737.200000003,32.152438697749666,A
84991,60 TEATIME FAIRY CAKE CASES,27041.21,54028,6610778.410000003,32.284497560433,A
22961,JAM MAKING SET PRINTED,26888.43,17252,6637666.840000003,32.41581030439455,A
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,26763.75,9772,6664430.590000003,32.546514159219875,A
22386,JUMBO BAG PINK WITH WHITE SPOTS,26242.66,14202,6690673.250000003,32.67467321102953,A
22149,FELTCRAFT 6 FLOWER FRIENDS,26218.97,12674,6716892.2200000025,32.80271656999639,A
22867,HAND WARMER BIRD DESIGN,26117.63,11872,6743009.850000002,32.93026502340451,A
22551,PLASTERS IN TIN SPACEBOY,25912.87,15441,6768922.7200000025,33.05681350777563,A
47566B,TEA TIME PARTY BUNTING,25803.49,5801,6794726.210000003,33.18282782232224,A
20711,JUMBO BAG TOYS ,25719.13,12643,6820445.340000003,33.308430155095245,A
21481,FAWN BLUE HOT WATER BOTTLE,25613.45,8174,6846058.790000003,33.433516387419786,A
22507,MEMO BOARD RETROSPOT  DESIGN,25603.46,5455,6871662.250000003,33.55855383242902,A
22090,PAPER BUNTING RETROSPOT,25497.960000000003,8406,6897160.210000003,33.68307605604051,A
37503,TEA TIME CAKE STAND IN GIFT BOX,25428.33,2465,6922588.540000003,33.80725823352949,A
21485,RETROSPOT HEART HOT WATER BOTTLE,25408.010000000002,5168,6947996.550000003,33.93134117595872,A
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,25407.27,12962,6973403.820000002,34.055420504512746,A
22087,PAPER BUNTING WHITE LACE,25389.100000000002,8475,6998792.920000002,34.17941109777959,A
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,25205.13,40439,7023998.050000002,34.3025032523683,A
22084,PAPER CHAIN KIT EMPIRE,25163.56,8803,7049161.610000001,34.42539239507544,A
85099B,JUMBO BAG RED WHITE SPOTTY ,25043.62,14060,7074205.230000001,34.54769579698215,A
20724,RED RETROSPOT CHARLOTTE BAG,24958.77,20663,7099164.000000001,34.66958482414384,A
22090,PAPER BUNTING RETRO SPOTS,24933.940000000002,8292,7124097.940000001,34.79135259114149,A
23173,REGENCY TEAPOT ROSES ,24879.13,2766,7148977.070000001,34.912852687193066,A
20972,PINK CREAM FELT CRAFT TRINKET BOX ,24785.31,20496,7173762.380000001,35.03389460247178,A
48138,DOOR MAT UNION FLAG,24770.81,3775,7198533.19,35.1548657053309,A
21314,SMALL GLASS HEART TRINKET POT,24641.390000000003,11426,7223174.58,35.275204770718005,A
23203,JUMBO BAG VINTAGE DOILY ,24489.08,11448,7247663.66,35.394800012682445,A
22722,SET OF 6 SPICE TINS PANTRY DESIGN,24459.960000000003,5972,7272123.62,35.51425304377388,A
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,24445.61,106139,7296569.23,35.63363599498798,A
71459,HANGING JAM JAR T-LIGHT HOLDER,24440.74,30176,7321009.970000001,35.752995162996335,A
84836,ZINC METAL HEART DECORATION,24289.33,19847,7345299.300000001,35.87161490283565,A
22728,ALARM CLOCK BAKELIKE PINK,24257.31,6215,7369556.61,35.99007826931803,A
47590A,BLUE HAPPY BIRTHDAY BUNTING,24174.010000000002,4752,7393730.62,36.10813483065887,A
21231,SWEETHEART CERAMIC TRINKET BOX,24128.86,19428,7417859.48,36.22597089677594,A
21212,PACK OF 72 RETRO SPOT CAKE CASES,24054.43,46728,7441913.91,36.3434434754178,A
22698,PINK REGENCY TEACUP AND SAUCER,23990.620000000003,8049,7465904.53,36.46060443057728,A
22383,LUNCH BAG SUKI  DESIGN ,23893.29,14347,7489797.82,36.577290063474734,A
23344,JUMBO BAG 50'S CHRISTMAS ,23772.07,10285,7513569.890000001,36.693383704544374,A
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,23709.46,3141,7537279.350000001,36.809171582469816,A
21790,VINTAGE SNAP CARDS,23506.17,27244,7560785.5200000005,36.923966670272506,A
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,23489.42,4800,7584274.94,37.03867995752153,A
22605,WOODEN CROQUET GARDEN SET,23426.82,1827,7607701.760000001,37.15308753046251,A
82600,NO SINGING METAL SIGN,23096.77,11450,7630798.53,37.26588326622502,A
84406B,CREAM CUPID HEARTS COAT HANGER,23080.13,7131,7653878.66,37.37859773863153,A
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,23040.04,7964,7676918.7,37.49111642690689,A
22625,RED KITCHEN SCALES,22911.55,2627,7699830.25,37.60300761947232,A
22607,WOODEN ROUNDERS GARDEN SET ,22906.54,2533,7722736.79,37.714874345125885,A
21791,VINTAGE HEADS AND TAILS CARD GAME ,22858.600000000002,17604,7745595.39,37.82650695026942,A
22554,PLASTERS IN TIN WOODLAND ANIMALS,22853.72,13588,7768449.109999999,37.93811572337104,A
22556,PLASTERS IN TIN CIRCUS PARADE ,22334.08,13585,7790783.1899999995,38.04718677469894,A
37449,CERAMIC CAKE STAND + HANGING CAKES,22333.3,2382,7813116.489999999,38.15625401680703,A
20749,ASSORTED COLOUR MINI CASES,22097.61,3062,7835214.1,38.26417023966171,A
22113,GREY HEART HOT WATER BOTTLE,22025.93,5759,7857240.029999999,38.37173640498281,A
22585,PACK OF 6 BIRDY GIFT TAGS,21977.3,17557,7879217.329999999,38.47906508009944,A
22499,WOODEN UNION JACK BUNTING,21826.52,3584,7901043.849999999,38.58565740372457,A
23202,JUMBO BAG VINTAGE LEAF,21810.43,10941,7922854.279999998,38.692171149982016,A
84970S,HANGING HEART ZINC T-LIGHT HOLDER,21794.26,26444,7944648.539999998,38.79860592818258,A
22941,CHRISTMAS LIGHTS 10 REINDEER,21727.58,2615,7966376.119999998,38.90471506692531,A
22456,NATURAL SLATE CHALKBOARD LARGE ,21583.2,4416,7987959.319999998,39.010119109313464,A
22969,HOMEMADE JAM SCENTED CANDLES,21501.989999999998,14461,8009461.309999999,39.11512655331573,A
21524,DOORMAT SPOTTY HOME SWEET HOME,21414.04,2817,8030875.349999999,39.21970448336604,A
21213,PACK OF 72 SKULL CAKE CASES,21390.76,40263,8052266.1099999985,39.32416872285577,A
21258,VICTORIAN SEWING BOX LARGE,21386.559999999998,1505,8073652.669999998,39.4286124511619,A
48184,DOORMAT ENGLISH ROSE ,21326.3,3234,8094978.969999998,39.53276189281941,A
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,21301.04,4438,8116280.009999998,39.63678797435837,A
22502,PICNIC BASKET WICKER SMALL,21260.8,3705,8137540.809999998,39.74061753922392,A
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,21201.13,2685,8158741.939999998,39.84415569877379,A
22083,PAPER CHAIN KIT RETRO SPOT,21151.79,7579,8179893.729999998,39.94745290075243,A
22570,FELTCRAFT CUSHION RABBIT,20901.1,5631,8200794.829999997,40.04952582925048,A
22424,ENAMEL BREAD BIN CREAM,20886.89,1529,8221681.719999997,40.15152936157732,A
23206,LUNCH BAG APPLE DESIGN,20852.58,12147,8242534.299999997,40.253365337068544,A
21218,RED SPOTTY BISCUIT TIN,20800.31,5256,8263334.609999997,40.35494604599618,A
22294,HEART FILIGREE DOVE  SMALL,20629.38,16671,8283963.9899999965,40.45569199858714,A
22617,BAKING SET SPACEBOY DESIGN,20546.99,4251,8304510.979999997,40.55603559012635,A
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,20469.08,17875,8324980.059999997,40.65599869920964,A
AMAZONFEE,AMAZON FEE,20467.8,3,8345447.859999997,40.75595555726555,A
20723,STRAWBERRY CHARLOTTE BAG,20401.05,18296,8365848.909999996,40.855586434010554,A
22568,FELTCRAFT CUSHION OWL,20244.97,5479,8386093.879999996,40.9544550761038,A
85150,LADIES & GENTLEMEN METAL SIGN,20237.72,8361,8406331.599999996,41.05328831198724,A
48188,DOORMAT WELCOME PUPPIES,20209.4,3414,8426540.999999996,41.151983243889795,A
22273,FELTCRAFT DOLL MOLLY,20150.99,7355,8446691.989999996,41.25039292383176,A
22569,FELTCRAFT CUSHION BUTTERFLY,20104.43,5521,8466796.419999996,41.348575222652585,A
21622,VINTAGE UNION JACK CUSHION COVER,19936.94,3699,8486733.359999996,41.44593956477284,A
22413,METAL SIGN TAKE IT OR LEAVE IT ,19728.24,6976,8506461.599999996,41.54228469641244,A
21174,POTTERING IN THE SHED METAL SIGN,19593.81,9696,8526055.409999996,41.637973323668156,A
21936,RED RETROSPOT PICNIC BAG,19576.72,6680,8545632.129999997,41.733578489941046,A
22561,WOODEN SCHOOL COLOURING SET,19524.27,11642,8565156.399999997,41.8289275105996,A
22558,CLOTHES PEGS RETROSPOT PACK 24 ,19513.17,13809,8584669.569999997,41.92422232313005,A
22169,FAMILY ALBUM WHITE PICTURE FRAME,19507.6,2275,8604177.169999996,42.01948993392415,A
22384,LUNCH BAG PINK POLKADOT,19500.66,11751,8623677.829999996,42.11472365242914,A
84946,ANTIQUE SILVER T-LIGHT GLASS,19381.62,14664,8643059.449999996,42.20937602538732,A
22427,ENAMEL FLOWER JUG CREAM,19273.280000000002,3210,8662332.729999995,42.30349930748075,A
22083,PAPER CHAIN KIT RETROSPOT,19261.030000000002,6137,8681593.759999994,42.39756276528864,A
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,19194.13,1758,8700787.889999995,42.49129950924338,A
21908,CHOCOLATE THIS WAY METAL SIGN,19125.980000000003,9678,8719913.869999995,42.58470343482601,A
22061,LARGE CAKE STAND  HANGING STRAWBERY,19121.37,2171,8739035.239999995,42.678084846942824,A
84949,SILVER HANGING T-LIGHT HOLDER,19015.8,11945,8758051.039999995,42.77095069580882,A
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,18744.170000000002,15810,8776795.209999995,42.86249000829311,A
22383,LUNCH BAG SUKI DESIGN ,18699.43,10301,8795494.639999995,42.95381082783582,A
22041,"RECORD FRAME 7"" SINGLE SIZE ",18650.87,7540,8814145.509999994,43.04489449902711,A
71053,WHITE METAL LANTERN,18525.22,4700,8832670.729999995,43.1353645439755,A
22555,PLASTERS IN TIN STRONGMAN,18323.32,11321,8850994.049999995,43.22484858702619,A
21484,CHICK GREY HOT WATER BOTTLE,18171.14,4584,8869165.189999996,43.313589441524186,A
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,18044.97,4621,8887210.159999996,43.401714130299396,A
22505,MEMO BOARD COTTAGE DESIGN,18034.63,3773,8905244.789999997,43.48978832249401,A
22147,FELTCRAFT BUTTERFLY HEARTS,17893.579999999998,12828,8923138.369999997,43.577173680772475,A
22560,TRADITIONAL MODELLING CLAY,17861.71,14836,8941000.079999998,43.66440339823629,A
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,17746.71,21605,8958746.79,43.751071499958485,A
21914,BLUE HARMONICA IN BOX ,17725.36,12957,8976472.149999999,43.83763533649733,A
22297,HEART IVORY TRELLIS SMALL,17702.62,13715,8994174.769999998,43.92408811962778,A
22847,BREAD BIN DINER STYLE IVORY,17669.989999999998,1112,9011844.759999998,44.01038155039608,A
22633,HAND WARMER UNION JACK,17576.670000000002,8541,9029421.429999998,44.09621924219908,A
84467,ENGLISH ROSE DESIGN QUILTED THROW,17477.66,816,9046899.089999998,44.181573407266626,A
21136,PAINTED METAL PEARS ASSORTED,17451.45,10496,9064350.539999997,44.266799572781224,A
22557,PLASTERS IN TIN VINTAGE PAISLEY ,17401.3,10369,9081751.839999998,44.35178082499633,A
23203,JUMBO BAG DOILEY PATTERNS,17268.69,8893,9099020.529999997,44.43611446100711,A
84992,72 SWEETHEART FAIRY CAKE CASES,17259.85,34797,9116280.379999997,44.520404925860014,A
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,17239.69,8411,9133520.069999997,44.6045969370316,A
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,17177.04,17400,9150697.109999996,44.68848298971438,A
21889,WOODEN BOX OF DOMINOES,17095.66,12805,9167792.769999996,44.771971613796694,A
21527,RED RETROSPOT TRADITIONAL TEAPOT ,17030.56,2337,9184823.329999996,44.855142314533104,A
22654,DELUXE SEWING KIT ,16971.27,2534,9201794.599999996,44.93802346572759,A
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,16891.44,6779,9218686.039999995,45.02051475792508,A
22652,TRAVEL SEWING KIT,16794.05,9910,9235480.089999996,45.10253043484365,A
22952,60 CAKE CASES VINTAGE CHRISTMAS,16770.31,27970,9252250.399999997,45.18443017473869,A
21164,HOME SWEET HOME METAL SIGN ,16626.41,5981,9268876.809999997,45.26562716241442,A
22993,SET OF 4 PANTRY JELLY MOULDS,16478.48,12649,9285355.289999997,45.34610171690181,A
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,16409.02,1699,9301764.309999997,45.426237055481266,A
22487,WHITE WOOD GARDEN PLANT LADDER,16373.699999999999,1632,9318138.009999996,45.506199904773815,A
21843,RETRO SPOT CAKE STAND,16354.009999999998,1493,9334492.019999996,45.58606659568416,A
23301,GARDENERS KNEELING PAD KEEP CALM ,16327.35,8807,9350819.369999995,45.66580308941476,A
22662,LUNCH BAG DOLLY GIRL DESIGN,16213.61,9951,9367032.979999995,45.744984120758815,A
48173C,DOORMAT BLACK FLOCK ,16032.710000000001,2844,9383065.689999996,45.82328170612322,A
22296,HEART IVORY TRELLIS LARGE,16027.56,9719,9399093.249999996,45.901554140869635,A
22692,DOORMAT WELCOME TO OUR HOME,15965.95,2135,9415059.199999996,45.97952569608698,A
21877,HOME SWEET HOME MUG,15954.75,14054,9431013.949999996,46.057442554814706,A
22634,CHILDS BREAKFAST SET SPACEBOY ,15946.55,1688,9446960.499999996,46.13531936789826,A
20685,DOOR MAT RED SPOT,15889.75,2485,9462850.249999996,46.2129187916416,A
35004C,SET OF 3 COLOURED  FLYING DUCKS,15874.38,3035,9478724.629999997,46.29044315422017,A
22759,SET OF 3 NOTEBOOKS IN PARCEL,15866.56,9380,9494591.189999998,46.367929326928305,A
22837,HOT WATER BOTTLE BABUSHKA ,15837.18,3398,9510428.369999997,46.44527201902349,A
22690,DOORMAT HOME SWEET HOME BLUE ,15836.35,2530,9526264.719999997,46.522610657718104,A
23313,VINTAGE CHRISTMAS BUNTING,15798.66,2990,9542063.379999997,46.59976523295792,A
22635,CHILDS BREAKFAST SET DOLLY GIRL ,15795.01,1660,9557858.389999997,46.67690198300246,A
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,15759.53,4353,9573617.919999996,46.75386546238167,A
84375,SET OF 20 KIDS COOKIE CUTTERS,15753.18,7575,9589371.099999996,46.830797930804714,A
22632,HAND WARMER RED RETROSPOT,15664.130000000001,7698,9605035.229999997,46.90729551329913,A
22193,RED DINER WALL CLOCK,15658.98,1850,9620694.209999997,46.983767945175565,A
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,15645.27,2385,9636339.479999997,47.06017342268836,A
22619,SET OF 6 SOLDIER SKITTLES,15560.09,3992,9651899.569999997,47.13616291386313,A
21891,TRADITIONAL WOODEN SKIPPING ROPE,15547.75,12142,9667447.319999997,47.21209214122703,A
48111,DOORMAT 3 SMILEY CATS,15437.73,2419,9682885.049999997,47.28748407325272,A
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,15411.9,5026,9698296.949999997,47.36274986149923,A
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,15400.28,3456,9713697.229999997,47.43795890213776,A
84378,SET OF 3 HEART COOKIE CUTTERS,15388.44,11637,9729085.669999996,47.513110120772964,A
85014B,RED RETROSPOT UMBRELLA,15376.300000000001,2699,9744461.969999997,47.588202052320334,A
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,15354.35,3759,9759816.319999997,47.66318678851527,A
21094,SET/6 RED SPOTTY PAPER PLATES,15334.029999999999,19633,9775150.349999996,47.73807228965046,A
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,15324.35,4205,9790474.699999996,47.81291051739106,A
